0.618: [GC 250439K->250447K(295744K), 0.0863349 secs]
0.704: [Full GC 250447K->250426K(328768K), 0.1010896 secs]
0.816: [GC 266490K->266554K(339776K), 0.0806770 secs]
0.917: [GC 293626K->293738K(344832K), 0.1496144 secs]
1.067: [Full GC 293738K->293735K(410496K), 0.1766740 secs]
1.266: [GC 325863K->325991K(426816K), 0.1364323 secs]
1.403: [Full GC 325991K->325988K(475200K), 0.2335307 secs]
1.672: [GC 374436K->374628K(475200K), 0.1912832 secs]
1.864: [Full GC 374628K->374060K(550272K), 0.4600837 secs]
2.364: [GC 422508K->422572K(617728K), 0.2272070 secs]
2.646: [GC 489772K->490004K(625344K), 0.4188850 secs]
3.065: [Full GC 490004K->489933K(767424K), 0.5919923 secs]
3.707: [GC 557133K->557229K(838400K), 0.2712698 secs]
4.056: [GC 657005K->657277K(842304K), 0.6096739 secs]
4.665: [Full GC 657277K->657167K(883712K), 0.9552869 secs]
5.675: [Full GC 741055K->656674K(883712K), 1.7609310 secs]
7.523: [Full GC 756450K->643297K(883712K), 1.5603179 secs]
9.178: [Full GC 743073K->643297K(883712K), 1.3176916 secs]
10.562: [Full GC 743073K->665197K(883712K), 1.1045363 secs]
11.732: [Full GC 764973K->674640K(883712K), 1.1991726 secs]
13.004: [Full GC 774416K->643297K(883712K), 1.1069164 secs]
14.176: [Full GC 743073K->643297K(883712K), 1.0943044 secs]
15.335: [Full GC 743073K->643297K(883712K), 1.0861797 secs]
16.486: [Full GC 743073K->643297K(883712K), 1.0940463 secs]
17.649: [Full GC 743073K->643297K(883712K), 1.1623930 secs]
18.888: [Full GC 743073K->643297K(883712K), 1.1963933 secs]
20.150: [Full GC 743073K->643297K(883712K), 1.1322709 secs]
21.348: [Full GC 743073K->643297K(883712K), 1.1467452 secs]
22.562: [Full GC 743073K->643297K(883712K), 1.1310524 secs]
23.761: [Full GC 743073K->643297K(883712K), 1.1145728 secs]
24.943: [Full GC 743073K->643297K(883712K), 1.1344083 secs]
26.147: [Full GC 743073K->643297K(883712K), 1.1939495 secs]
27.412: [Full GC 743073K->643297K(883712K), 1.1410667 secs]
28.619: [Full GC 743073K->643297K(883712K), 1.2256134 secs]
29.921: [Full GC 743073K->643297K(883712K), 1.3044986 secs]
31.300: [Full GC 743073K->643297K(883712K), 1.2207679 secs]
32.591: [Full GC 743073K->643297K(883712K), 1.1911439 secs]
33.888: [Full GC 743073K->643297K(883712K), 1.2016289 secs]
35.159: [Full GC 743073K->643297K(883712K), 1.1062381 secs]
36.341: [Full GC
