[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 0.961-0.964: OC 428KB->78422KB (117108KB), 0.003 s, sum of pauses 1.747 ms, longest pause 1.747 ms.
[INFO ][memory ] [OC#2] 1.025-1.117: OC 78449KB->156488KB (233624KB), 0.092 s, sum of pauses 90.392 ms, longest pause 90.392 ms.
[INFO ][memory ] [YC#1] 1.678-1.680: YC 156524KB->156627KB (233624KB), 0.001 s, sum of pauses 1.341 ms, longest pause 1.341 ms.
[INFO ][memory ] [YC#2] 1.680-1.681: YC 156652KB->156691KB (233624KB), 0.001 s, sum of pauses 0.549 ms, longest pause 0.549 ms.
[INFO ][memory ] [YC#3] 1.681-1.681: YC 156716KB->156755KB (233624KB), 0.001 s, sum of pauses 0.644 ms, longest pause 0.644 ms.
[INFO ][memory ] [YC#4] 1.681-1.682: YC 156780KB->156819KB (233624KB), 0.001 s, sum of pauses 0.560 ms, longest pause 0.560 ms.
[INFO ][memory ] [YC#5] 1.682-1.683: YC 156844KB->156883KB (233624KB), 0.001 s, sum of pauses 0.549 ms, longest pause 0.549 ms.
[INFO ][memory ] [YC#6] 1.683-1.683: YC 156908KB->156947KB (233624KB), 0.001 s, sum of pauses 0.568 ms, longest pause 0.568 ms.
[INFO ][memory ] [YC#7] 1.683-1.684: YC 156972KB->157011KB (233624KB), 0.001 s, sum of pauses 0.543 ms, longest pause 0.543 ms.
[INFO ][memory ] [YC#8] 1.684-1.685: YC 157036KB->157075KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#9] 1.685-1.685: YC 157100KB->157139KB (233624KB), 0.001 s, sum of pauses 0.552 ms, longest pause 0.552 ms.
