[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 0.890-0.892: OC 428KB->78422KB (117108KB), 0.003 s, sum of pauses 1.857 ms, longest pause 1.857 ms.
[INFO ][memory ] [OC#2] 0.951-1.041: OC 78449KB->156488KB (233624KB), 0.090 s, sum of pauses 88.222 ms, longest pause 88.222 ms.
[INFO ][memory ] [YC#1] 1.608-1.609: YC 156524KB->156627KB (233624KB), 0.001 s, sum of pauses 1.122 ms, longest pause 1.122 ms.
[INFO ][memory ] [YC#2] 1.609-1.610: YC 156652KB->156691KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#3] 1.610-1.610: YC 156716KB->156755KB (233624KB), 0.001 s, sum of pauses 0.548 ms, longest pause 0.548 ms.
[INFO ][memory ] [YC#4] 1.610-1.611: YC 156780KB->156819KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#5] 1.611-1.612: YC 156844KB->156947KB (233624KB), 0.001 s, sum of pauses 0.786 ms, longest pause 0.786 ms.
[INFO ][memory ] [YC#6] 1.612-1.613: YC 156972KB->157011KB (233624KB), 0.001 s, sum of pauses 0.922 ms, longest pause 0.922 ms.
[INFO ][memory ] [YC#7] 1.613-1.614: YC 157036KB->157075KB (233624KB), 0.001 s, sum of pauses 0.923 ms, longest pause 0.923 ms.
[INFO ][memory ] [YC#8] 1.614-1.615: YC 157100KB->157139KB (233624KB), 0.001 s, sum of pauses 0.908 ms, longest pause 0.908 ms.
[INFO ][memory ] [YC#9] 1.615-1.616: YC 157164KB->157203KB (233624KB), 0.001 s, sum of pauses 0.914 ms, longest pause 0.914 ms.
[INFO ][memory ] [YC#10] 1.616-1.617: YC 157228KB->157267KB (233624KB), 0.001 s, sum of pauses 0.919 ms, longest pause 0.919 ms.
[INFO ][memory ] [YC#11] 1.617-1.618: YC 157292KB->157331KB (233624KB), 0.001 s, sum of pauses 0.912 ms, longest pause 0.912 ms.
