[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 1.155-1.159: OC 492KB->78426KB (117112KB), 0.003 s, sum of pauses 2.305 ms, longest pause 2.305 ms.
[INFO ][memory ] [OC#2] 1.224-1.321: OC 78453KB->156494KB (233632KB), 0.097 s, sum of pauses 95.810 ms, longest pause 95.810 ms.
[INFO ][memory ] [YC#1] 2.428-2.429: YC 156530KB->156633KB (233632KB), 0.001 s, sum of pauses 1.253 ms, longest pause 1.253 ms.
[INFO ][memory ] [YC#2] 2.429-2.430: YC 156658KB->156697KB (233632KB), 0.001 s, sum of pauses 1.023 ms, longest pause 1.023 ms.
[INFO ][memory ] [YC#3] 2.431-2.431: YC 156722KB->156761KB (233632KB), 0.001 s, sum of pauses 0.629 ms, longest pause 0.629 ms.
[INFO ][memory ] [YC#4] 2.431-2.432: YC 156786KB->156825KB (233632KB), 0.001 s, sum of pauses 0.603 ms, longest pause 0.603 ms.
[INFO ][memory ] [YC#5] 2.432-2.433: YC 156850KB->156889KB (233632KB), 0.001 s, sum of pauses 0.608 ms, longest pause 0.608 ms.
[INFO ][memory ] [YC#6] 2.433-2.434: YC 156914KB->156953KB (233632KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#7] 2.434-2.434: YC 156978KB->157017KB (233632KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#8] 2.434-2.435: YC 157042KB->157081KB (233632KB), 0.001 s, sum of pauses 0.606 ms, longest pause 0.606 ms.
[INFO ][memory ] [YC#9] 2.435-2.436: YC 157106KB->157145KB (233632KB), 0.001 s, sum of pauses 0.607 ms, longest pause 0.607 ms.
[INFO ][memory ] [YC#10] 2.436-2.437: YC 157170KB->157209KB (233632KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#11] 2.437-2.437: YC 157234KB->157273KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#12] 2.437-2.438: YC 157298KB->157401KB (233632KB), 0.001 s, sum of pauses 0.937 ms, longest pause 0.937 ms.
[INFO ][memory ] [YC#13] 2.438-2.439: YC 157426KB->157465KB (233632KB), 0.001 s, sum of pauses 0.614 ms, longest pause 0.614 ms.
[INFO ][memory ] [YC#14] 2.439-2.440: YC 157490KB->157529KB (233632KB), 0.001 s, sum of pauses 0.612 ms, longest pause 0.612 ms.
[INFO ][memory ] [YC#15] 2.440-2.441: YC 157554KB->157593KB (233632KB), 0.001 s, sum of pauses 0.587 ms, longest pause 0.587 ms.
[INFO ][memory ] [YC#16] 2.441-2.441: YC 157618KB->157657KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#17] 2.442-2.442: YC 157682KB->157721KB (233632KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#18] 2.442-2.443: YC 157746KB->157785KB (233632KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#19] 2.443-2.444: YC 157810KB->157849KB (233632KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#20] 2.444-2.444: YC 157874KB->157913KB (233632KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
