[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 1.586-1.593: OC 428KB->78423KB (117108KB), 0.007 s, sum of pauses 5.044 ms, longest pause 5.044 ms.
[INFO ][memory ] [OC#2] 2.153-2.202: OC 78455KB->156488KB (233624KB), 0.049 s, sum of pauses 46.028 ms, longest pause 46.028 ms.
[INFO ][memory ] [YC#1] 2.271-2.272: YC 156524KB->156622KB (233624KB), 0.001 s, sum of pauses 1.275 ms, longest pause 1.275 ms.
[INFO ][memory ] [YC#2] 2.272-2.273: YC 156652KB->156750KB (233624KB), 0.001 s, sum of pauses 0.610 ms, longest pause 0.610 ms.
[INFO ][memory ] [YC#3] 2.273-2.274: YC 156780KB->156878KB (233624KB), 0.001 s, sum of pauses 0.609 ms, longest pause 0.609 ms.
[INFO ][memory ] [YC#4] 2.274-2.275: YC 156908KB->157006KB (233624KB), 0.001 s, sum of pauses 0.628 ms, longest pause 0.628 ms.
[INFO ][memory ] [YC#5] 2.275-2.275: YC 157036KB->157134KB (233624KB), 0.001 s, sum of pauses 0.614 ms, longest pause 0.614 ms.
[INFO ][memory ] [YC#6] 2.275-2.276: YC 157164KB->157262KB (233624KB), 0.001 s, sum of pauses 0.608 ms, longest pause 0.608 ms.
[INFO ][memory ] [YC#7] 2.276-2.277: YC 157292KB->157326KB (233624KB), 0.001 s, sum of pauses 0.650 ms, longest pause 0.650 ms.
[INFO ][memory ] [YC#8] 2.277-2.278: YC 157356KB->157454KB (233624KB), 0.001 s, sum of pauses 0.611 ms, longest pause 0.611 ms.
[INFO ][memory ] [YC#9] 2.278-2.278: YC 157484KB->157582KB (233624KB), 0.001 s, sum of pauses 0.609 ms, longest pause 0.609 ms.
