[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 0.843-0.845: OC 428KB->78423KB (117108KB), 0.003 s, sum of pauses 1.614 ms, longest pause 1.614 ms.
[INFO ][memory ] [OC#2] 1.393-1.442: OC 78449KB->156488KB (233624KB), 0.049 s, sum of pauses 47.104 ms, longest pause 47.104 ms.
[INFO ][memory ] [YC#1] 1.494-1.496: YC 156524KB->156628KB (233624KB), 0.002 s, sum of pauses 1.670 ms, longest pause 1.670 ms.
[INFO ][memory ] [YC#2] 1.496-1.496: YC 156652KB->156755KB (233624KB), 0.001 s, sum of pauses 0.605 ms, longest pause 0.605 ms.
[INFO ][memory ] [YC#3] 1.497-1.497: YC 156780KB->156884KB (233624KB), 0.001 s, sum of pauses 0.602 ms, longest pause 0.602 ms.
[INFO ][memory ] [YC#4] 1.497-1.498: YC 156908KB->157011KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#5] 1.498-1.499: YC 157036KB->157140KB (233624KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#6] 1.499-1.499: YC 157164KB->157267KB (233624KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#7] 1.499-1.500: YC 157292KB->157332KB (233624KB), 0.001 s, sum of pauses 0.580 ms, longest pause 0.580 ms.
[INFO ][memory ] [YC#8] 1.500-1.501: YC 157356KB->157395KB (233624KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#9] 1.501-1.501: YC 157420KB->157524KB (233624KB), 0.001 s, sum of pauses 0.586 ms, longest pause 0.586 ms.
[INFO ][memory ] [YC#10] 1.502-1.502: YC 157548KB->157651KB (233624KB), 0.001 s, sum of pauses 0.624 ms, longest pause 0.624 ms.
[INFO ][memory ] [YC#11] 1.502-1.503: YC 157676KB->157780KB (233624KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#12] 1.503-1.504: YC 157804KB->157907KB (233624KB), 0.001 s, sum of pauses 0.588 ms, longest pause 0.588 ms.
[INFO ][memory ] [YC#13] 1.504-1.504: YC 157932KB->158036KB (233624KB), 0.001 s, sum of pauses 0.592 ms, longest pause 0.592 ms.
[INFO ][memory ] [YC#14] 1.504-1.505: YC 158060KB->158163KB (233624KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#15] 1.505-1.506: YC 158188KB->158292KB (233624KB), 0.001 s, sum of pauses 0.636 ms, longest pause 0.636 ms.
[INFO ][memory ] [YC#16] 1.507-1.507: YC 158316KB->158419KB (233624KB), 0.001 s, sum of pauses 0.590 ms, longest pause 0.590 ms.
[INFO ][memory ] [YC#17] 1.507-1.508: YC 158444KB->158484KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#18] 1.508-1.509: YC 158508KB->158547KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#19] 1.509-1.509: YC 158572KB->158612KB (233624KB), 0.001 s, sum of pauses 0.574 ms, longest pause 0.574 ms.
