[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [OC#1] 0.830-0.833: OC 428KB->78423KB (117108KB), 0.003 s, sum of pauses 1.753 ms, longest pause 1.753 ms.
[INFO ][memory ] [OC#2] 0.892-0.982: OC 78450KB->156488KB (233624KB), 0.090 s, sum of pauses 88.419 ms, longest pause 88.419 ms.
[INFO ][memory ] [YC#1] 1.530-1.531: YC 156524KB->156628KB (233624KB), 0.001 s, sum of pauses 1.275 ms, longest pause 1.275 ms.
[INFO ][memory ] [YC#2] 1.531-1.532: YC 156652KB->156691KB (233624KB), 0.001 s, sum of pauses 0.564 ms, longest pause 0.564 ms.
[INFO ][memory ] [YC#3] 1.532-1.532: YC 156716KB->156756KB (233624KB), 0.001 s, sum of pauses 0.625 ms, longest pause 0.625 ms.
[INFO ][memory ] [YC#4] 1.533-1.533: YC 156780KB->156819KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#5] 1.533-1.534: YC 156844KB->156884KB (233624KB), 0.001 s, sum of pauses 0.565 ms, longest pause 0.565 ms.
[INFO ][memory ] [YC#6] 1.534-1.535: YC 156908KB->156947KB (233624KB), 0.001 s, sum of pauses 0.560 ms, longest pause 0.560 ms.
[INFO ][memory ] [YC#7] 1.535-1.535: YC 156972KB->157012KB (233624KB), 0.001 s, sum of pauses 0.565 ms, longest pause 0.565 ms.
[INFO ][memory ] [YC#8] 1.535-1.536: YC 157036KB->157075KB (233624KB), 0.001 s, sum of pauses 0.550 ms, longest pause 0.550 ms.
[INFO ][memory ] [YC#9] 1.536-1.537: YC 157100KB->157140KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#10] 1.537-1.537: YC 157164KB->157203KB (233624KB), 0.001 s, sum of pauses 0.571 ms, longest pause 0.571 ms.
[INFO ][memory ] [YC#11] 1.537-1.538: YC 157228KB->157268KB (233624KB), 0.001 s, sum of pauses 0.551 ms, longest pause 0.551 ms.
[INFO ][memory ] [YC#12] 1.538-1.539: YC 157292KB->157331KB (233624KB), 0.001 s, sum of pauses 0.589 ms, longest pause 0.589 ms.
[INFO ][memory ] [YC#13] 1.539-1.539: YC 157356KB->157396KB (233624KB), 0.001 s, sum of pauses 0.568 ms, longest pause 0.568 ms.
[INFO ][memory ] [YC#14] 1.540-1.540: YC 157420KB->157459KB (233624KB), 0.001 s, sum of pauses 0.581 ms, longest pause 0.581 ms.
[INFO ][memory ] [YC#15] 1.540-1.541: YC 157484KB->157524KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#16] 1.541-1.542: YC 157548KB->157587KB (233624KB), 0.001 s, sum of pauses 0.562 ms, longest pause 0.562 ms.
[INFO ][memory ] [YC#17] 1.542-1.542: YC 157612KB->157652KB (233624KB), 0.001 s, sum of pauses 0.587 ms, longest pause 0.587 ms.
[INFO ][memory ] [YC#18] 1.542-1.543: YC 157676KB->157715KB (233624KB), 0.001 s, sum of pauses 0.560 ms, longest pause 0.560 ms.
[INFO ][memory ] [YC#19] 1.543-1.544: YC 157740KB->157780KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#20] 1.544-1.544: YC 157804KB->157843KB (233624KB), 0.001 s, sum of pauses 0.557 ms, longest pause 0.557 ms.
[INFO ][memory ] [YC#21] 1.544-1.545: YC 157868KB->157908KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#22] 1.545-1.546: YC 157932KB->157971KB (233624KB), 0.001 s, sum of pauses 0.562 ms, longest pause 0.562 ms.
[INFO ][memory ] [YC#23] 1.546-1.547: YC 157996KB->158036KB (233624KB), 0.001 s, sum of pauses 0.562 ms, longest pause 0.562 ms.
[INFO ][memory ] [YC#24] 1.547-1.547: YC 158060KB->158099KB (233624KB), 0.001 s, sum of pauses 0.563 ms, longest pause 0.563 ms.
[INFO ][memory ] [YC#25] 1.547-1.548: YC 158124KB->158164KB (233624KB), 0.001 s, sum of pauses 0.565 ms, longest pause 0.565 ms.
[INFO ][memory ] [YC#26] 1.548-1.549: YC 158188KB->158227KB (233624KB), 0.001 s, sum of pauses 0.560 ms, longest pause 0.560 ms.
[INFO ][memory ] [YC#27] 1.549-1.549: YC 158252KB->158292KB (233624KB), 0.001 s, sum of pauses 0.551 ms, longest pause 0.551 ms.
[INFO ][memory ] [YC#28] 1.549-1.550: YC 158316KB->158355KB (233624KB), 0.001 s, sum of pauses 0.547 ms, longest pause 0.547 ms.
[INFO ][memory ] [YC#29] 1.550-1.551: YC 158380KB->158484KB (233624KB), 0.001 s, sum of pauses 0.564 ms, longest pause 0.564 ms.
[INFO ][memory ] [YC#30] 1.551-1.551: YC 158508KB->158547KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#31] 1.551-1.552: YC 158572KB->158612KB (233624KB), 0.001 s, sum of pauses 0.553 ms, longest pause 0.553 ms.
[INFO ][memory ] [YC#32] 1.552-1.553: YC 158636KB->158675KB (233624KB), 0.001 s, sum of pauses 0.578 ms, longest pause 0.578 ms.
[INFO ][memory ] [YC#33] 1.553-1.553: YC 158700KB->158740KB (233624KB), 0.001 s, sum of pauses 0.583 ms, longest pause 0.583 ms.
[INFO ][memory ] [YC#34] 1.554-1.554: YC 158764KB->158803KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#35] 1.554-1.555: YC 158828KB->158868KB (233624KB), 0.001 s, sum of pauses 0.991 ms, longest pause 0.991 ms.
[INFO ][memory ] [YC#36] 1.555-1.556: YC 158892KB->158931KB (233624KB), 0.001 s, sum of pauses 0.639 ms, longest pause 0.639 ms.
[INFO ][memory ] [YC#37] 1.556-1.557: YC 158956KB->158996KB (233624KB), 0.001 s, sum of pauses 0.569 ms, longest pause 0.569 ms.
[INFO ][memory ] [YC#38] 1.557-1.557: YC 159020KB->159059KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#39] 1.558-1.558: YC 159084KB->159124KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#40] 1.558-1.559: YC 159148KB->159187KB (233624KB), 0.001 s, sum of pauses 0.561 ms, longest pause 0.561 ms.
[INFO ][memory ] [YC#41] 1.559-1.559: YC 159212KB->159252KB (233624KB), 0.001 s, sum of pauses 0.554 ms, longest pause 0.554 ms.
[INFO ][memory ] [YC#42] 1.560-1.560: YC 159276KB->159315KB (233624KB), 0.001 s, sum of pauses 0.563 ms, longest pause 0.563 ms.
[INFO ][memory ] [YC#43] 1.560-1.561: YC 159340KB->159380KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#44] 1.561-1.562: YC 159404KB->159443KB (233624KB), 0.001 s, sum of pauses 0.571 ms, longest pause 0.571 ms.
[INFO ][memory ] [YC#45] 1.562-1.562: YC 159468KB->159508KB (233624KB), 0.001 s, sum of pauses 0.581 ms, longest pause 0.581 ms.
[INFO ][memory ] [YC#46] 1.562-1.563: YC 159532KB->159571KB (233624KB), 0.001 s, sum of pauses 0.559 ms, longest pause 0.559 ms.
[INFO ][memory ] [YC#47] 1.563-1.564: YC 159596KB->159636KB (233624KB), 0.001 s, sum of pauses 0.562 ms, longest pause 0.562 ms.
[INFO ][memory ] [YC#48] 1.564-1.564: YC 159660KB->159699KB (233624KB), 0.001 s, sum of pauses 0.554 ms, longest pause 0.554 ms.
[INFO ][memory ] [YC#49] 1.564-1.565: YC 159724KB->159764KB (233624KB), 0.001 s, sum of pauses 0.562 ms, longest pause 0.562 ms.
[INFO ][memory ] [YC#50] 1.565-1.566: YC 159788KB->159827KB (233624KB), 0.001 s, sum of pauses 0.567 ms, longest pause 0.567 ms.
[INFO ][memory ] [YC#51] 1.566-1.566: YC 159852KB->159892KB (233624KB), 0.001 s, sum of pauses 0.554 ms, longest pause 0.554 ms.
[INFO ][memory ] [YC#52] 1.567-1.567: YC 159916KB->159955KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#53] 1.567-1.568: YC 159980KB->160020KB (233624KB), 0.001 s, sum of pauses 0.557 ms, longest pause 0.557 ms.
[INFO ][memory ] [YC#54] 1.568-1.569: YC 160044KB->160083KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#55] 1.569-1.569: YC 160108KB->160148KB (233624KB), 0.001 s, sum of pauses 0.565 ms, longest pause 0.565 ms.
[INFO ][memory ] [YC#56] 1.569-1.570: YC 160172KB->160211KB (233624KB), 0.001 s, sum of pauses 0.568 ms, longest pause 0.568 ms.
[INFO ][memory ] [YC#57] 1.570-1.571: YC 160236KB->160276KB (233624KB), 0.001 s, sum of pauses 0.557 ms, longest pause 0.557 ms.
[INFO ][memory ] [YC#58] 1.571-1.571: YC 160300KB->160339KB (233624KB), 0.001 s, sum of pauses 0.567 ms, longest pause 0.567 ms.
[INFO ][memory ] [YC#59] 1.571-1.572: YC 160364KB->160468KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#60] 1.572-1.573: YC 160492KB->160531KB (233624KB), 0.001 s, sum of pauses 0.555 ms, longest pause 0.555 ms.
[INFO ][memory ] [YC#61] 1.573-1.574: YC 160556KB->160596KB (233624KB), 0.001 s, sum of pauses 0.649 ms, longest pause 0.649 ms.
